lemme,freqlemfilms2,freqfilms2,CECRL,TO_REMOVE,Category_Informal,Category_Formal,Category_Top100,Category_Top500,Category_Administrative_Legal,Category_Office_Work,Category_Customer_Service,Category_Manufacturing_Industry,Category_Construction_Work,Category_Maintenance_Repair,Category_Cooking_Catering,Category_Health_Medical,Category_Tourism_Hospitality,Category_Sports
chevaucher,"3,67","0,01",C1,,,,,,,,,,,,,,,X
frimer,"3,67",0,B2,,X,,,,,,,,,,,,,
dissuader,"3,66",0,B2,,,,,,,,,,,,,,,
persister,"3,66","0,02",B2,,,,,,,,,,,,,,,
alléger,"3,65","0,36",B2,,,,,,,,,,,,,,,
ravager,"3,65","0,34",B2,,,,,,,,,,,,,,,
clarifier,"3,64",0,C1,,,,,,,,,,,,,,,
amputer,"3,62","0,01",B1,,,,,,,,,,,,,X,,
gracier,"3,62",0,B2,,,,,,,,,,,,,,,
nouer,"3,61","0,01",C1,,,,,,,X,,,,,,,,
riposter,"3,61","0,01",C1,,,,,,,,,,,,,,,
superviser,"3,61","0,02",B1,,,,,,,X,,,,,,,,
couver,"3,59","0,14",C1,,,,,,,,,,,,,,,
déballer,"3,59",0,B2,,,,,,,,X,,,,,,,
initier,"3,59","0,06",B2,,,,,,,X,,,,,,,,
déjouer,"3,58","0,01",B2,,,,,,,,,,,,,,,
submerger,"3,57","0,44",B2,,,,,,,,,,,,,,,
berner,"3,56","0,01",C1,,X,,,,,,,,,,,,,
dépanner,"3,56","0,01",B1,,X,,,,,,,,,X,,,,
rafler,"3,56","0,01",C2,,X,,,,,,,,,,,,,
décliner,"3,55","0,12",B2,,,,,,,,,,,,,,,
bafouer,"3,54",0,C2,,,,,,,,,,,,,,,
dessécher,"3,54","0,85",B2,,,,,,,,,,,,X,,,
stocker,"3,54","0,07",B1,,,,,,,,,X,,,,,,
administrer,"3,53",0,B1,,,,,,X,,,,,,,X,,
broder,"3,52","0,01",C2,,,,,,,,,X,,,,,,
formuler,"3,52","0,01",A2,,,,,,,X,,,,,,,,
grignoter,"3,52",0,A2,,,,,X,,,,,,,,,,
accroître,"3,51","0,01",B2,,,X,,,,X,,,,,,,,
fausser,"3,51",0,B2,,,,,,,,,X,,,,,,
rejouer,"3,51",0,B2,,,,,,,,,,,,,,,X
rétrécir,"3,51","1,06",B2,,,,,,,,,X,,,,,,
retaper,"3,5",0,B2,,X,,,,,X,,,X,,,,,
éternuer,"3,48",0,B1,,,,,,,,,,,,,,,
dégoter,"3,47",0,C2,,X,,,,,,,,,,,,,
river,"3,47","0,02",C2,,,,,,,,,X,X,,,,,
amasser,"3,46","0,02",C1,,,,,,,,,,,,,,,
compatir,"3,46","0,04",C1,,,,,,,,X,,,,,X,,
consigner,"3,46","0,04",B2,,,,,,,,,,,,,,,
revaloir,"3,46","0,11",C2,,,X,,,,,,,,,,,,
ratisser,"3,45",0,C2,,,,,,,,,,,,,,,
halluciner,"3,44","0,08",B2,,,,,,,,,,,,,X,,
rebondir,"3,42","0,47",C1,,,,,,,,,,,,,,,X
embellir,"3,4","0,34",B1,,,,,,,,,,,,,,X,
défouler,"3,39","0,01",B2,,X,,,,,,,,,,,,,X
farcir,"3,39","0,89",B1,,,,,,,,,,,,X,,,
implanter,"3,39","0,14",B1,,,,,,,,,,,,,X,,
polluer,"3,38","0,12",B1,,,,,,,,,,,,,,,
lamenter,"3,37",0,C1,,,X,,,,,,,,,,,,
ébranler,"3,37","0,15",C2,,,,,,,,,,,,,,,
camer,"3,35","0,2",C2,,X,,,,,,,,,,,,,
désapprouver,"3,35",0,C1,,,,,,,,,,,,,,,
piler,"3,34",0,C1,,,,,,,,,,,,X,,,
trimballer,"3,34",0,B2,,X,,,,,,,,,,,,,
contracter,"3,31","0,01",B1,,,,,,,,,,,,,X,,
disjoncter,"3,31",0,B2,,,,,,,,,,,X,,,,
incarner,"3,31",0,C2,,,,,,,,,,,,,,,
sonder,"3,31",0,B2,,,,,,,,,,X,,,X,,
décimer,"3,3","0,04",C1,,,,,,,,,,,,,,,
défigurer,"3,28","0,01",B2,,,,,,,,,,,,,,,
empester,"3,28",0,C1,,X,,,,,,,,,,,,,
griffer,"3,28",0,B1,,,,,,,,,,,,,,,
sniffer,"3,28",0,B2,,X,,,,,,,,,,,,,
étirer,"3,28",0,C1,,,,,,,,,,,,,,,X
adoucir,"3,27","0,44",C1,,,,,,,,,,,,,,,
dispenser,"3,27",0,C1,,,,,,,,,,,,,X,,
désinfecter,"3,27",0,B1,,,,,,,,,,,X,,X,,
repêcher,"3,27",0,C1,,,,,,,,,,,,,,,
ruer,"3,27","0,03",C2,,,,,,,,,,,,,,,
échauffer,"3,27","0,01",C2,,,,,,,,,,,,,,,X
éplucher,"3,27",0,A2,,,,,X,,,,,,,X,,,
favoriser,"3,26","0,01",B1,,,,,,,,,,,,,,,
châtier,"3,25",0,C2,,,X,,,,,,,,,,,,
renfermer,"3,25","0,1",B2,,,,,,,,,,,,,,,
prostituer,"3,24",0,B2,,,,,,,,,,,,,,,
effleurer,"3,23","0,01",C1,,,,,,,,,,,,,,,
immobiliser,"3,23",0,B1,,,,,,,,,,,,,X,,
saper,"3,23",0,C1,,,,,,,,,,,,,,,
sévir,"3,23","0,14",C1,,,X,,,,,,,,,,,,
affliger,"3,21","0,74",C2,,,X,,,,,,,,,,,,
braver,"3,2","0,22",C2,,,,,,,,,,,,,,,
souder,"3,2",0,C1,,,,,,,,,X,X,,,,,
torcher,"3,2",0,B2,,X,,,,,,,,,,,,,
tricoter,"3,19",0,B1,,,,,,,,,,,,,,,
différencier,"3,17","0,01",B1,,,,,,,,,,,,,,,
sommer,"3,17",0,C2,,,,,,,,,,,,,,,
raffoler,"3,16","0,01",C1,,X,,,,,,,,,,,,,
émigrer,"3,15","0,02",B2,,,,,,,,,,,,,,,
galoper,"3,14","0,14",C1,,,,,,,,,,,,,,,X
profaner,"3,12","0,23",C2,,,X,,,,,,,,,,,,
retravailler,"3,12","0,03",B2,,,,,,,,,X,,,,,,
ruser,"3,12","0,03",C1,,,,,,,,,,,,,,,
entuber,"3,11","0,02",B1,,X,,,,,,,,,,,,,
orner,"3,11",0,B2,,,,,,,,,,X,,,,,
pulvériser,"3,11",0,C1,,,,,,,,,X,,,,,,
démanger,"3,1","2,38",B1,,,,,,,,,,,,,,,
ensevelir,"3,1","0,75",C1,,,X,,,,,,,,,,,,
grouper,"3,1",0,B1,,,,,,,X,,,,,,,,
régir,"3,1","0,5",B2,,,X,,,,,,,,,,,,
regrouper,"3,09",0,B2,,,,,,,X,,,,,,,,
abolir,"3,08","1,1",C1,,,X,,,,,,,,,,,,
étriper,"3,07",0,C2,,X,,,,,,,,,,,,,
démentir,"3,06","0,37",C1,,,,,,,,,,,,,,,
enivrer,"3,06","0,02",C2,,,,,,,,,,,,,,,
fouler,"3,06","0,04",C2,,,,,,,,,X,,,,,,
remballer,"3,06",0,B2,,X,,,,,,X,,,,,,,
tramer,"3,06","0,01",C2,,,,,,,,,X,,,,,,
dédommager,"3,05","0,35",B2,,,,,,,,,,,,,,,
étreindre,"3,05","0,11",C1,,,X,,,,,,,,,,,,
décoder,"3,04",0,B2,,,,,,,,,,,,,,,
dévier,"3,04",0,B2,,,,,,,,,,X,,,,,
enrôler,"3,04",0,C2,,,,,,,,,,,,,,,
flancher,"3,04",0,C2,,X,,,,,,,,,,,,,
référer,"3,02",1,C2,,,X,,,,,,,,,,,,
grogner,"3,01","0,02",C1,,,,,,,,,,,,,,,
astiquer,3,0,C2,,X,,,,,,,,,X,,,,
épeler,3,0,A2,,,,,X,,,X,,,,,,,
acharner,"2,99","0,01",C2,,,,,,,,,,,,,,,
conférer,"2,99","0,78",C2,,,X,,,,,,,,,,,,
longer,"2,98","0,55",B1,,,,,,,,,,,,,,,
puiser,"2,97","0,02",C2,,,,,,,,,,,,,,,
tisser,"2,97","0,06",C2,,,,,,,,,X,,,,,,
attendrir,"2,96","0,14",C2,,,,,,,,,,,,X,,,
déguster,"2,96",0,B1,,,,,,,,,,,,X,,X,
biler,"2,95","0,01",C2,,X,,,,,,,,,,,,,
dégénérer,"2,95","1,26",C1,,,,,,,,,,,,,,,
éprendre,"2,95",0,C2,,,X,,,,,,,,,,,,
réintégrer,"2,94","0,32",B2,,,,,,,,,,,,,,,
traumatiser,"2,94","0,05",B2,,,,,,,,,,,,,,,
empocher,"2,92","0,14",C2,,,,,,,,,,,,,,,
insérer,"2,92","0,57",B1,,,,,,,X,,,,,,,,
privilégier,"2,92","0,01",B1,,,,,,,,,,,,,,,
ranimer,"2,92","0,14",B1,,,,,,,,,,,,,X,,
sculpter,"2,92","0,04",B1,,,,,,,,,,,,,,,
éclipser,"2,92","0,02",C2,,,,,,,,,,,,,,,
divaguer,"2,91",0,C1,,,X,,,,,,,,,,,,
brailler,"2,9",0,C2,,X,,,,,,,,,,,,,
rôtir,"2,9","0,4",A2,,,,,,,,,,,,X,,,
scanner,"2,9","0,01",A2,,,,,X,,X,,,,,,X,,
visser,"2,9",0,B1,,,,,,,,,X,X,X,,,,
revendiquer,"2,89","0,01",B2,,,,,,,,,,,,,,,
glander,"2,88","0,05",B2,,X,,,,,,,,,,,,,
décomposer,"2,87",0,B2,,,,,,,,,,,,,,,
exhiber,"2,87",0,C1,,,,,,,,,,,,,,,
répartir,"2,87","0,39",B2,,,,,,,X,,,,,,,,
siéger,"2,87","1,08",B2,,,,,,,,,,,,,,,
retentir,"2,86","0,48",C1,,,,,,,,,,,,,,,
assaillir,"2,84","0,19",B2,,,X,,,,,,,,,,,,
chantonner,"2,84",0,B2,,,,,,,,,,,,,,,
courber,"2,84",0,B2,,,,,,,,,X,,,,,,
grincer,"2,84","1,37",B2,,,,,,,,,,,,,,,
marchander,"2,84",0,C2,,,,,,,,X,,,,,,,
pirater,"2,84",0,B2,,,,,,,,,,,,,,,
recoller,"2,84",0,B2,,,,,,,,,,,X,,,,
déconseiller,"2,83","0,14",B2,,,,,,,,X,,,,,,,
embaumer,"2,83","0,01",C2,,,,,,,,,,,,,,,
escroquer,"2,83","0,13",B2,,,,,,,,,,,,,,,
générer,"2,83","0,93",C1,,,,,,,X,,,,,,,,
transcender,"2,83","0,04",C2,,,X,,,,,,,,,,,,
agripper,"2,81","0,12",C2,,X,,,,,,,,,,,,,
fuguer,"2,81","0,01",C1,,,,,,,,,,,,,,,
perpétuer,"2,81","0,32",C2,,,X,,,,,,,,,,,,
éventrer,"2,81",0,C2,,,,,,,,,,,,X,,,
cligner,"2,8","0,02",C1,,,,,,,,,,,,,,,
désamorcer,"2,8","0,5",C2,,,,,,,,,,,,,,,
simplifier,"2,8",0,B1,,,,,,,X,,,,,,,,
courtiser,"2,79",0,C2,,,,,,,,,,,,,,,
décommander,"2,77",0,C2,,,,,,,,X,,,,,,,
incruster,"2,77",0,C2,,X,,,,,,,,,,,,,
railler,"2,77",0,C2,,,X,,,,,,,,,,,,
sauvegarder,"2,77",0,B1,,,,,,,X,,,,,,,,
tondre,"2,77","0,48",C1,,,,,,,,,,,X,,,,
émaner,"2,77","0,06",C2,,,X,,,,,,,,,,,,
chambouler,"2,76",0,B2,,X,,,,,,,,,,,,,
épingler,"2,76",0,B2,,,,,,,X,,,,,,,,
affairer,"2,75",0,C2,,,,,,,,,,,,,,,
déformer,"2,75",0,B2,,,,,,,,,X,,,,,,
déporter,"2,75",0,B2,,,,,,,,,,,,,,,
interférer,"2,75","0,8",C2,,,,,,,,,,,,,,,
enclencher,"2,74",0,C1,,,,,,,,,X,,X,,,,
impatienter,"2,74",0,B2,,,,,,,,,,,,,,,
omettre,"2,73","0,13",B1,,,X,,,,,,,,,,,,
redoubler,"2,73",0,B1,,,,,,,,,,,,,,,
vautrer,"2,73",0,C2,,X,,,,,,,,,,,,,
zapper,"2,73","0,01",B2,,X,,,,,,,,,,,,,
jaser,"2,72","0,01",B2,,X,,,,,,,,,,,,,
réprimer,"2,72",0,C2,,,,,,,,,,,,,,,
attrister,"2,71","0,01",C1,,,,,,,,,,,,,,,
commenter,"2,7","0,04",B2,,,,,,,,,,,,,,,X
varier,"2,69","0,01",C1,,,,,,,,,,,,,,,
voguer,"2,69","0,14",C2,,,X,,,,,,,,,,,X,
frustrer,"2,68",0,C1,,,,,,,,,,,,,,,
revêtir,"2,68","0,25",C2,,,X,,,,,,X,X,,,,,
adhérer,"2,67","0,73",B1,,,,,,,,,,,,,,,
attester,"2,67",0,B1,,,X,,,X,,,,,,,,,
dorer,"2,67",0,C2,,,,,,,,,,,,X,,,
embraser,"2,67","0,04",C2,,,X,,,,,,,,,,,,
absoudre,"2,66",0,C2,,,X,,,,,,,,,,,,
trotter,"2,66","0,14",C2,,,,,,,,,,,,,,,X
aérer,"2,65","0,32",B1,,,,,,,,,,,X,,,,
démener,"2,65",0,C2,,,,,,,,,,,,,,,
engraisser,"2,65","0,01",C1,,,,,,,,,,,,,,,
menotter,"2,65","0,31",B2,,,,,,,,,,,,,,,
récapituler,"2,65",0,C1,,,,,,,X,,,,,,,,
symboliser,"2,65",0,B1,,,,,,,,,,,,,,,
réécrire,"2,64","0,04",B1,,,,,,,X,,,,,,,,
aventurer,"2,63","0,14",C2,,,,,,,,,,,,,,,
entretuer,"2,63","0,01",C2,,,,,,,,,,,,,,,
instaurer,"2,63","0,26",B2,,,X,,,,,,,,,,,,
relayer,"2,63","0,27",B2,,,,,,,,,,,,,,,X
aiguiser,"2,62",0,C1,,,,,,,,,,,X,X,,,
altérer,"2,62","0,51",C2,,,X,,,,,,,,,,,,
convier,"2,62","0,02",C2,,,X,,,,,,,,,,,X,
faiblir,"2,62","0,15",B2,,,,,,,,,,,,,,,
mutiler,"2,62","0,01",B2,,,,,,,,,,,,,,,
terrer,"2,62","0,9",C2,,,,,,,,,,,,,,,
bâillonner,"2,61",0,C2,,,,,,,,,,,,,,,
bégayer,"2,61","0,59",B2,,,,,,,,,,,,,,,
clamer,"2,61",0,C2,,,X,,,,,,,,,,,,
détromper,"2,61",0,C1,,,,,,,,,,,,,,,
déconnecter,"2,6","0,01",B2,,,,,,,,,,,X,,,,
enrhumer,"2,6",0,B1,,,,,,,,,,,,,,,
gravir,"2,6","0,44",C2,,,,,,,,,,,,,,,X
illustrer,"2,59","0,04",B2,,,,,,,,,,,,,,,
jeûner,"2,59","0,01",C1,,,,,,,,,,,,,,,
priser,"2,59","0,02",C2,,,,,,,,,,,,,,,
toper,"2,59",0,C2,,X,,,,,,,,,,,,,
barder,"2,58",0,C2,,X,,,,,,,,,,X,,,
faxer,"2,58","0,45",A2,,,,,,,X,,,,,,,,
filtrer,"2,58",0,B1,,,,,,,,,X,,,X,,,
résulter,"2,58","0,11",C2,,,,,,,,,,,,,,,
auditionner,"2,57","0,1",B1,,,,,,,,,,,,,,,
mémoriser,"2,57",0,B1,,,,,,,,,,,,,,,
abrutir,"2,56","1,75",C2,,X,,,,,,,,,,,,,
innocenter,"2,56","0,01",B2,,,,,,,,,,,,,,,
labourer,"2,56",0,C2,,,,,,,,,,,,,,,
martiner,"2,56",0,C2,,,,,,,,,,,,,,,
délier,"2,55","0,88",B2,,,,,,,,,,,,,,,
moucher,"2,55",0,B1,,,,,X,,,,,,,,,,
se moucher,"2,55",0,B2,,,,,,,,,,,,,,,
télécharger,"2,55","0,34",A2,,,,,X,,X,,,,,,,,
desserrer,"2,54","0,01",B2,,,,,,,,,,,X,,,,
frayer,"2,54","0,08",C2,,,,,,,,,,,,,,,
friser,"2,54",0,B2,,,,,,,,,,,,,,,
immoler,"2,54","0,01",C2,,,X,,,,,,,,,,,,
loucher,"2,54",0,C2,,,,,,,,,,,,,,,
patiner,"2,54","0,02",B1,,,,,,,,,,,,,,,X
patrouiller,"2,54",0,B2,,,,,,,,,,,,,,,
déplorer,"2,53","0,01",C2,,,X,,,,,,,,,,,,
apitoyer,"2,52","0,69",C2,,,,,,,,,,,,,,,
certifier,"2,52",0,B1,,,,,,X,,,,,,,,,
comparaître,"2,52","0,17",B2,,,X,,,,,,,,,,,,
surcharger,"2,52","0,24",B2,,,,,,,,,,,,,,,
évaporer,"2,52",0,C2,,,,,,,,,X,,,X,,,
encadrer,"2,51",0,B2,,,,,,,X,,,,,,,,
dévaster,"2,5","0,05",C2,,,,,,,,,,,,,,,
falsifier,"2,5","0,01",B2,,,,,,,,,,,,,,,
dégommer,"2,49","0,01",B2,,X,,,,,,,,,,,,,
rosser,"2,49","0,02",C2,,X,,,,,,,,,,,,,
asperger,"2,48","0,4",C1,,,,,,,,,,,,,,,
assécher,"2,48","0,48",C1,,,,,,,,,,,,,,,
divulguer,"2,48",0,C1,,,,,,,,,,,,,,,
graisser,"2,48",0,B2,,,,,,,,,,,X,,,,
rapatrier,"2,48",0,B2,,,,,,,,,,,,,,,
suffoquer,"2,48",0,C2,,,,,,,,,,,,,,,
séjourner,"2,48",0,B2,,,,,,,,,,,,,,X,
terrasser,"2,48","0,23",C2,,,,,,,,,,X,,,,,
atténuer,"2,47",0,C1,,,,,,,,,,,,,X,,
fourguer,"2,47","0,03",C1,,X,,,,,,,,,,,,,
roupiller,"2,47",0,C2,,X,,,,,,,,,,,,,
écoper,"2,47","0,02",C2,,X,,,,,,,,,,,,,
barricader,"2,46",0,B2,,,,,,,,,,X,,,,,
déchiqueter,"2,46",0,C2,,,,,,,X,,,,,,,,
raccourcir,"2,46","0,53",B2,,,,,,,,,,,,,,,
alarmer,"2,45","0,14",B2,,,,,,,,,,,,,,,
concorder,"2,45","0,02",C2,,,,,,,,,,,,,,,
délibérer,"2,44","0,27",C1,,,,,,,,,,,,,,,
entrevoir,"2,44",0,C2,,,,,,,,,,,,,,,
plumer,"2,44",0,C2,,X,,,,,,,,,,X,,,
postuler,"2,44",0,A2,,,,,X,,X,,,,,,,,
rafer,"2,44","2,11",C2,,,,,,,,,,,,,,,
restituer,"2,44",0,B2,,,,,,,,,,,,,,,
élucider,"2,43",0,C2,,,X,,,,,,,,,,,,
côtoyer,"2,42","0,44",C2,,,,,,,,,,,,,,,
dramatiser,"2,42",0,C2,,,,,,,,,,,,,,,
expier,"2,42",0,C2,,,X,,,,,,,,,,,,
modeler,"2,42",0,C1,,,,,,,,,X,,,,,,
resplendir,"2,42",0,C2,,,X,,,,,,,,,,,,
réchapper,"2,42","0,01",C2,,,,,,,,,,,,,,,
vagabonder,"2,42",0,C2,,,,,,,,,,,,,,,
chavirer,"2,41",0,C2,,,,,,,,,,,,,,,
exiler,"2,41","0,04",C1,,,,,,,,,,,,,,,
inaugurer,"2,41",0,B1,,,,,,,,,,,,,,X,
recopier,"2,41",0,B1,,,,,,,X,,,,,,,,
apprivoiser,"2,4",0,C1,,,,,,,,,,,,,,X,
exceller,"2,38",0,C1,,,,,,,,,,,,,,,X
blinder,"2,37",0,C2,,X,,,,,,,,,,,,,
crouler,"2,37",0,C2,,,,,,,,,,,,,,,
embobiner,"2,37","0,01",C2,,X,,,,,,,,,,,,,
percher,"2,37","0,04",C2,,,,,,,,,X,,,,,,
dégueuler,"2,36",0,B2,,X,,,,,,,,,,,,,
foudroyer,"2,36","0,34",C2,,,,,,,,,,,,,,,
fusionner,"2,36","0,01",C2,,,,,,,,,,,,,,,
outrager,"2,36","1,02",C2,,,X,,,,,,,,,,,,
débiner,"2,35",0,C2,,X,,,,,,,,,,,,,
rallier,"2,35","0,1",C2,,,,,,,,,,,,,,,
chiper,"2,34",0,C2,,X,,,,,,,,,,,,,
gourer,"2,33",0,C2,,X,,,,,,,,,,,,,
greffer,"2,33",0,B2,,,,,,,,,,,,,X,,
intuber,"2,33","0,42",C2,,,,,,,,,,,,,X,,
rénover,"2,33","0,01",B1,,,,,,,,,,X,,,,,
handicaper,"2,32","0,02",B1,,,,,,,,,,,,,,,X
soutirer,"2,32",0,C2,,,,,,,,,,,,X,,,
capituler,"2,31",0,B2,,,,,,,,,,,,,,,
convoiter,"2,31",0,C1,,,,,,,,,,,,,,,
exaspérer,"2,31","0,93",C2,,,,,,,,,,,,,,,
délaisser,"2,3","0,1",C1,,,,,,,,,,,,,,,
ramollir,"2,3","0,26",C1,,,,,,,,,,,,X,,,
scruter,"2,3",0,C2,,,,,,,,,,,,,,,
endosser,"2,29",0,C2,,,,,,,,,,,,,,,
esquinter,"2,29",0,C2,,X,,,,,,,,,,,,,
paître,"2,29","0,39",C2,,,,,,,,,,,,,,,
détailler,"2,28",0,B2,,,,,,,,X,,,,,,,
entraver,"2,28",0,C2,,,,,,,,,,,,,,,
rayonner,"2,28",0,C2,,,,,,,,,,,,,,,
enfler,"2,27","0,02",C2,,,,,,,,,,,,,,,
lester,"2,27","0,03",C2,,,,,,,,,,,,,,,
perfectionner,"2,27",0,C1,,,,,,,,,,,,,,,X
sangloter,"2,27","0,04",C1,,,,,,,,,,,,,,,
oeuvrer,"2,26",0,C2,,,X,,,,,,,,,,,,
recracher,"2,26",0,C2,,,,,,,,,,,,,,,
accommoder,"2,25",0,C2,,,,,,,,,,,,X,,,
curer,"2,25","0,01",C2,,,,,,,,,,,X,,X,,
peigner,"2,25",0,B1,,,,,,,,,,,,,,,
resservir,"2,25","1,13",C2,,,,,,,,,,,,X,,,
élancer,"2,25","0,94",C2,,,,,,,,,,,,,,,X
dépeindre,"2,24",0,C2,,,X,,,,,,,,,,,,
détraquer,"2,24","0,02",C2,,,,,,,,,,,,,,,
recréer,"2,23",0,B2,,,,,,,,,,,,,,X,
équivaloir,"2,23","0,01",C2,,,X,,,,,,,,,,,,
encombrer,"2,22",0,C2,,,,,,,,,,,,,,,
tanner,"2,22","0,45",C2,,,,,,,,,X,,,,,,
écrabouiller,"2,22",0,C2,,X,,,,,,,,,,,,,
feuilleter,"2,21",0,C2,,,,,,,X,,,,,,,,
frissonner,"2,21","0,01",C2,,,,,,,,,,,,,,,
rabattre,"2,21","0,32",C1,,,,,,,,,,X,,,,,
tasser,"2,21",0,C2,,,,,,,,,,X,,,,,
bourdonner,"2,2",0,C2,,,,,,,,,,,,,,,
cicatriser,"2,2",0,B1,,,,,,,,,,,,,X,,
rouer,"2,2",0,C2,,,X,,,,,,,,,,,,
assoiffer,"2,19",0,B2,,,,,,,,,,,,,,,
borner,"2,19",0,C2,,,,,,,,,,X,,,,,
camoufler,"2,19",0,C1,,,,,,,,,,,,,,,
coder,"2,19",0,B2,,,,,,,,,,,,,,,
décerner,"2,19","0,03",C2,,,,,,,,,,,,,,,
fortifier,"2,19","0,11",C2,,,,,,,,,,X,,,,,
taxer,"2,19",0,B1,,,,,,,,,,,,,,,
assoupir,"2,18","0,88",C2,,,,,,,,,,,,,,,
dédaigner,"2,18","0,02",C2,,,X,,,,,,,,,,,,
hacher,"2,18","0,1",B1,,,,,,,,,,,,X,,,
pressentir,"2,18","0,28",C2,,,,,,,,,X,,,,,,
boutonner,"2,17",0,C2,,,,,,,,,,,,,,,
censurer,"2,17","0,01",B2,,,,,,,,,,,,,,,
civiliser,"2,17","0,02",B2,,,,,,,,,,,,,,,
collecter,"2,17","0,05",B2,,,,,,,X,,,,,,,,
congédier,"2,17",0,C2,,,X,,,,X,,,,,,,,
pétrifier,"2,17","0,01",C2,,,,,,,,,,,,,,,
raviver,"2,17","0,01",C2,,,,,,,,,,,,,,,
soustraire,"2,17",0,B1,,,,,,,,,,,,,,,
reluquer,"2,16",0,C2,,X,,,,,,,,,,,,,
éparpiller,"2,16",0,C2,,,,,,,,,,,,,,,
assouvir,"2,15","0,18",C2,,,X,,,,,,,,,,,,
cocher,"2,15",0,A2,,,,,X,,X,,,,,,,,
coordonner,"2,15","0,01",B1,,,,,,,X,,,,,,,,
quereller,"2,15",0,C2,,,,,,,,,,,,,,,
dompter,"2,14",0,C2,,,,,,,,,,,,,,,
noircir,"2,14","0,38",C1,,,,,,,,,,,,,,,
replonger,"2,14","0,5",C1,,,,,,,,,,,,,,,
accoupler,"2,13","0,01",C2,,,,,,,,,,,,,,,
dérouiller,"2,13",0,C2,,X,,,,,,,,,X,,,,
dévisager,"2,13","0,54",C2,,,,,,,,,,,,,,,
jongler,"2,13",0,B2,,,,,,,,,,,,,,,X
rattacher,"2,13",0,B2,,,,,,,X,,,,,,,,
atteler,"2,12","0,02",C2,,,,,,,,,,,,,,,
cavaler,"2,12",0,C2,,X,,,,,,,,,,,,,
réquisitionner,"2,12",0,C2,,,,,,,,,,,,,,,
sympathiser,"2,12",0,B2,,,,,,,,,,,,,,,
chamailler,"2,11","0,05",C2,,X,,,,,,,,,,,,,
endurcir,"2,11","0,51",C2,,,,,,,,,X,,,,,,
minimiser,"2,1","0,01",C2,,,,,,,X,,,,,,,,
réputer,"2,1",0,C1,,,X,,,,,,,,,,,,
synchroniser,"2,09","0,01",B1,,,,,,,X,,,,,,,,
bafouiller,"2,08","0,01",C2,,X,,,,,,,,,,,,,
désintégrer,"2,08","0,33",C2,,,,,,,,,,,,,,,
malmener,"2,08",0,C2,,,,,,,,,,,,,,,
subsister,"2,08","0,01",C1,,,,,,,,,,,,,,,
tripler,"2,08",0,C2,,,,,,,,,,,,,,,
élaborer,"2,08",0,C2,,,,,,,X,,,,,X,,,
électrocuter,"2,08","0,03",C2,,,,,,,,,,,,,,,
amorcer,"2,06","0,36",C2,,,,,,,,,,,X,,,,
dénuer,"2,06","1,16",C2,,,X,,,,,,,,,,,,
munir,"2,06","1,14",C1,,,,,,,,,,,,,,,
rider,"2,06",0,C2,,,,,,,,,,,,,,,
choir,"2,05","0,33",C2,,,X,,,,,,,,,,,,
crisper,"2,05",0,C2,,,,,,,,,,,,,,,
infester,"2,05","0,01",C2,,,,,,,,,,,,,,,
séquestrer,"2,05","0,01",B2,,,,,,,,,,,,,,,
arrondir,"2,04","0,14",C1,,,,,,,X,,,,,,,,
briefer,"2,04","0,17",B1,,X,,,,,X,,,,,,,,
fantasmer,"2,04","0,01",C2,,X,,,,,,,,,,,,,
lisser,"2,04","0,02",B2,,,,,,,,,,X,,,,,
minuter,"2,04","0,95",C2,,,,,,,,,,,,X,,,
radoter,"2,04",0,C2,,X,,,,,,,,,,,,,
rectifier,"2,04",0,C1,,,,,,,,,X,,,,,,
ricaner,"2,04","0,02",C2,,,,,,,,,,,,,,,
voiturer,"2,04",0,C2,X,,,,,,,,,,,,,,
épiler,"2,04",0,B1,,,,,,,,,,,,,,,
sous-entendre,"2,03","0,39",C1,,,,,,,,,,,,,,,
cartonner,"2,02",0,C2,,X,,,,,,,,,,,,,
recouvrer,"2,02","0,02",C2,,,X,,,X,,,,,,,,,
actionner,"2,01",0,B2,,,,,,,,,X,,X,,,,
morfler,"2,01",0,C2,,X,,,,,,,,,,,,,
primer,"2,01","0,83",C2,,,X,,,,,,,X,,,,,
accroupir,2,"0,72",B2,,,,,,,,,,,,,,,
arpenter,2,"0,1",C2,,,,,,,,,,X,,,,,
assortir,2,"0,47",B2,,,,,,,,X,,,,,,,
déceler,2,0,C1,,,X,,,,,,,,,,X,,
exorciser,2,0,C2,,,,,,,,,,,,,,,
sillonner,2,0,C2,,,,,,,,,,,,,,,
uriner,2,0,B1,,,,,,,,,,,,,,,
volatiliser,2,0,C2,,,,,,,,,,,,,,,
rivaliser,"1,99","0,04",C1,,,,,,,,,X,,,,,,X
opter,"1,98","0,01",B1,,,,,,,,,,,,,,,
retoucher,"1,98",0,B2,,,,,,,,,,,,,,,
éclabousser,"1,98",0,C2,,,,,,,,,,,,,,,
éjaculer,"1,98","0,27",C2,,,,,,,,,,,,,X,,
broncher,"1,97",0,C2,,X,,,,,,,,,,,,,
déverser,"1,97","0,01",C2,,,,,,,,,X,X,,,,,
rasseoir,"1,97","0,52",B2,,,,,,,,,,,,,,,
équilibrer,"1,97",0,C1,,,,,,,,,,,,X,,,X
enfanter,"1,96",0,C2,,,X,,,,,,,,,,X,,
ferrer,"1,96","0,03",C2,,,,,,,,,,,,,,,
